,dealcounts,dealsizeusdmn,seed_founding,firstrounds_founding,has_ipo,ipo_value,has_tradesale,tradesale_value,name,Strat_score,score_year,incyear,portfoliocompanycity,portfoliocompanystatecounty
132659,3,5.0,0.0,3.0,0.0,0.0,0.0,0.0,BoomTime,0.8560431155293469,2006,2006,Albuquerque,NM
132714,3,120.0,0.0,70.0,0.0,0.0,1.0,0.0,"Flipagram, Inc.",0.8091551941053948,2013,2013,Rolling Hills Estates,CA
132731,3,1.19,1.02,1.02,0.0,0.0,1.0,0.0,Dónde,0.7590967318663377,2013,2013,Cincinnati,OH
132745,1,0.0,0.0,0.0,1.0,164.8,0.0,0.0,ExamWorks Group Inc.,0.7770915362589738,2007,2007,Atlanta,GA
132762,10,18.0,3.8,18.0,0.0,0.0,0.0,0.0,"Allovue, Inc.",0.9174929249420662,2013,2013,Baltimore,MD
132809,6,29.8,0.0,29.8,0.0,0.0,0.0,0.0,Fundera Inc.,0.8218758059018697,2013,2013,New York,NY
132827,4,9.6,0.0,9.6,0.0,0.0,0.0,0.0,bounce.io,0.6648600338403368,2012,2012,Louisville,CO
132856,2,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Celery,0.7522566459771315,2012,2012,San Francisco,CA
132877,8,12.9,1.7,8.7,0.0,0.0,0.0,0.0,"ConnXus, Inc.",0.9111710775101636,2010,2010,Mason,OH
133094,7,90.2,1.9,59.9,0.0,0.0,0.0,0.0,"RealtyShares, Inc.",0.8357814147339481,2013,2013,San Francisco,CA
133199,1,46.0,0.0,0.0,0.0,0.0,0.0,0.0,ForwardThink Group Inc.,0.8570363108413342,2008,2008,New York,NY
133224,2,10.6,2.6,10.6,0.0,0.0,1.0,0.0,"npm, Inc.",0.9081447044077346,2014,2014,Oakland,CA
133354,8,23.01,0.0,12.25,0.0,0.0,0.0,0.0,TriLumina Corp,0.8406582753114338,2010,2010,Albuquerque,NM
133443,17,51.04,0.0,35.4,0.0,0.0,0.0,0.0,3CLogic Inc.,0.9068197490169778,2005,2005,Rockville,MD
133460,3,6.14,0.0,6.14,0.0,0.0,1.0,0.0,"Wise.io, Inc.",0.7593188134493746,2012,2012,Berkeley,CA
133464,12,27.520000000000003,0.0,24.72,0.0,0.0,0.0,0.0,Fuel 3D Inc.,0.8341751087201186,2013,2013,Greenville,NC
133562,8,48.2,4.6,4.6,0.0,0.0,1.0,20.0,"Rise Labs, Inc.",0.8359128777521081,2013,2013,San Francisco,CA
133650,3,10.2,1.5,10.2,0.0,0.0,0.0,0.0,RocksBox,0.8835266328579754,2012,2012,San Francisco,CA
133826,6,55.9,0.75,14.25,0.0,0.0,1.0,40.0,"healthfinch, Inc.",0.8967853988453935,2011,2011,Madison,WI
133900,4,42.18,0.0,7.0,0.0,0.0,0.0,0.0,MD Revolution Inc.,0.7912474876033442,2011,2011,San Diego,CA
133901,4,0.0,0.0,0.0,0.0,0.0,1.0,55.0,FireLayers,0.7299432221181591,2013,2013,Foster City,CA
133905,16,136.0,0.0,136.0,0.0,0.0,0.0,0.0,ViSenze Pte Ltd,0.8811008656999771,2012,2012,San Francisco,CA
133919,18,176.61,0.0,165.0,0.0,0.0,1.0,0.0,"Shiftgig, Inc.",0.8738837061934493,2011,2011,Chicago,IL
133921,13,212.89,0.0,165.94,0.0,0.0,0.0,0.0,"MycoTechnology, Inc.",0.7645801415101741,2013,2013,Aurora,CO
133924,3,0.02,0.02,0.02,0.0,0.0,1.0,0.0,Sessions,0.8852718976973932,2012,2012,San Francisco,CA
133932,16,20.84,2.3,16.080000000000002,0.0,0.0,0.0,0.0,"Ambient Clinical Analytics, Inc.",0.7976557588051323,2013,2013,Rochester,MN
134059,2,7.3,0.0,7.3,0.0,0.0,1.0,200.0,Acompli,0.859562641251139,2013,2013,San Francisco,CA
134072,2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,"24PageBooks, Inc.",0.8959322311276839,2011,2011,Rochester,NY
134166,2,0.6,0.6,0.6,0.0,0.0,0.0,0.0,Astrolome Inc.,0.6323353875144816,2010,2010,San Francisco,CA
