id,website,year,timestamp,error,detailed_error
122379.0,www.angel.co,2011.0,2020-10-05 14:14:27.770705,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
122379.0,www.angel.co,2011.0,2020-10-05 14:20:25.294721,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
122379.0,www.angel.co,2011.0,2020-10-05 14:23:19.063357,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
123049.0,www.quri.com,2011.0,2020-10-05 14:23:56.745456,soup is None,
123788.0,www.airpush.com,2011.0,2020-10-05 14:24:11.191710,Text is to short,
125562.0,www.adialpharma.com,2011.0,2020-10-05 14:30:48.974670,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
126748.0,www.apartmentlist.com,2011.0,2020-10-05 14:32:28.220353,soup is None,
128808.0,www.simpli.fi,2011.0,2020-10-05 14:39:36.295173,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
129092.0,www.nanotronicsimaging.com,2011.0,2020-10-05 14:42:23.343646,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
129116.0,www.shyftanalytics.com,2011.0,2020-10-05 14:42:59.171601,soup is None,
130158.0,www.sworkit.com,2011.0,2020-10-05 14:43:06.218759,soup is None,
130531.0,www.chnl.it,2011.0,2020-10-05 14:47:14.273220,soup is None,
130767.0,www.uplandsoftware.com,2011.0,2020-10-05 14:47:19.923023,soup is None,
131954.0,www.simpleenergy.com,2011.0,2020-10-05 14:47:36.871360,Text is to short,
133469.0,www.blueconic.com,2011.0,2020-10-05 14:50:23.553332,soup is None,
133545.0,www.codeship.com,2011.0,2020-10-05 14:50:37.119332,Text is to short,
134161.0,www.smarterhq.com,2011.0,2020-10-05 14:50:43.614493,soup is None,
134174.0,www.mamamancinis.com,2011.0,2020-10-05 14:52:41.370590,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
